AUTOM_LAINAN_PERINTA,LAINOJEN_LUKUMAARA,ASUNTOLUOTOT1,AUTOMAATTINOSTOJA,VAKUUTUS_A,ASUNTOLAINA_A_KPL,ASUNTOLAINA_B_KPL,VAKUUTUS_B,VAKUUTUS_C,IKA,KORKEAKORK_KPL,RAHASTO_A1,PANKKIKORTTILKM,KULUTUSLUOTOT_A1,KULUTUSLUOTOT_B1,KUNTA,TILILLE_TULEVAT_SUOR,LUOTTOKORTTEJA_YHTEENSA,MAARAAIKAISTILEJA,MAKSUAUTOMAATTITAPAHTUMIA,KAYTTOTILI_TAL,KAYTTOTILI_VEL,ASUNTOLAINA_C_KPL,OSAKKEET_EUROA_1,ERI_OSAKESARJOJA,RAHASTO_B1,OTTOJA,PKORTTIMAKSUJA,PANOJA,ASUNTOLAINA_D,PALVELUJA_KPL,RAHASTOLAJEJA,LAINARASTIT,SAASTOTILILLA,ASUNTOLAINA_E,SUKUPUOLI,SUORAVELOITUKSIA,NETISSA_MAKSUT,MAKSUPALVELUSSA_MAKSUT,TISKILLA_MAKSUT,TILINYLITYSPAIVAT,TOIMEKSIANTO_A_KPL,TOIMEKSIANTO_B_KPL,KV_MAKSUKORTIT,RAHASTO_C1,KORTTILUOTOT1,VAKUUTUS_D,KORTTILUOTOT2,KULUTUSLUOTOT_A2,OSAKKEET_EUROA_2,RAHASTO_A2,RAHASTO_B2,RAHASTO_C2,ASUNTOLUOTOT2,KULUTUSLUOTOT_B2,KULUTUSLUOTOT_A3,OSAKKEET_EUROA_3,RAHASTO_A3,RAHASTO_B3,RAHASTO_C3,KORTTILUOTOT3,ASUNTOLUOTOT3,KULUTUSLUOTOT_B3,KULUTUSLUOTOT1,KULUTUSLUOTOT2,KULUTUSLUOTOT3,ASUNTOLAINAT_KPL,TOIMEKSIANNOT_KPL,autom_lainan_perinta_luok,lainojen_lukumaara_luok,asuntoluotot1_luok,automaattinostoja_luok,vakuutus_a_luok,asuntolaina_a_kpl_luok,asuntolaina_b_kpl_luok,vakuutus_b_luok,vakuutus_c_luok,korkeakork_kpl_luok,rahasto_a1_luok,pankkikorttilkm_luok,luottokortteja_yhteensa_luok,maaraaikaistileja_luok,maksuautomaattitapahtumia_luok,kayttotili_tal_luok,kayttotili_vel_luok,asuntolaina_c_kpl_luok,osakkeet_euroa_1_luok,eri_osakesarjoja_luok,rahasto_b1_luok,ottoja_luok,pkorttimaksuja_luok,panoja_luok,asuntolaina_d_kpl_luok,palveluja_kpl_luok,rahastolajeja_luok,lainarastit_luok,saastotililla_luok,asuntolaina_e_kpl_luok,suoraveloituksia_luok,netissa_maksut_luok,maksupalvelussa_maksut_luok,tiskilla_maksut_luok,tilinylityspaivat_luok,toimeksianto_a_kpl_luok,toimeksianto_b_kpl_luok,kv_maksukortit_luok,rahasto_c1_luok,korttiluotot1_luok,kulutusluotot1_luok,aktiivisuus_f,kortit_f,varallisuus_tililla_f,varallisuus_rahastoissa_f,varallisuus_vakuutus_bc_f,varallisuus_vakuutus_a_f,asuntolainat_cde_f,kulutusluotot_f,asuntolainat_ab_f,pkorttim_netissamaksu_f,maksup_tiskillam_f,automaattimaksu_nosto_f,rasteja_tilinylityksia_f,osakes_rahastoja_a_toimeksia_f,b_toimeksiantoja_f,filter_$
0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,593,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,3,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48643704640579,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.300329299770781,-.431085240987066,-.189796046071016,-.623398280503587,-.696006318072743,-.738908391579663,-.428398893436199,-.25772957236746,-.0361128205659534,0
0,6,0,0,0,0,0,0,0,49,0,0,1,0,0,684,4332,0,0,0,3408,0,0,0,0,0,7,0,5,0,16,0,0,3408,0,N,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1003,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-.250723262016976,1.00649326277899,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.00159210004778444,.496176022304672,.0933540766644465,.182330855105614,-.931589007200551,-1.13691363952502,-.428398893436199,-.25772957236746,-.0361128205659534,0
0,1,3093,189,0,0,0,0,0,21,0,0,0,0,0,837,10903,0,0,27,842,0,0,0,0,0,230,0,56,0,12,0,0,842,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7513,0,0,0,0,0,0,0,7123,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59883335432952,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,.719613606760836,-.219772759650963,.571515508132237,-1.03783919664657,-.795460919708957,1.99529855308274,-.428398893436199,-.25772957236746,-.0361128205659534,0
0,0,0,157,0,0,0,0,0,21,0,0,0,0,0,564,7400,0,0,8,3219,0,0,0,0,0,226,0,68,0,7,0,0,0,0,N,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,.980976462135116,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.300329299770781,-.431085240987066,-.189796046071016,.0565050640180296,-.97163943966163,.720241373671477,-.428398893436199,-.25772957236746,-.0361128205659534,0
0,1,0,0,0,0,0,0,0,50,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,-.868580154211381,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.150960699909283,.0325453906588027,-.0482209847032847,-.623398280503587,-.696006318072743,-.738908391579663,3.45322654760561,-.25772957236746,-.0361128205659534,0
8,1,70025,57,0,1,0,0,0,29,0,0,2,0,0,505,34085,0,0,0,3983,0,0,0,0,0,331,163,37,0,16,0,0,2100,0,M,0,77,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,86335,0,0,0,0,0,0,500,85442,0,0,0,0,1,0,2,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,2,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,.992219987433723,-.461894297447442,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,1.23990843488044,-.796174802589166,4.55153980925699,2.72951529309339,-1.00377933508545,-.312213293469934,.760374473606141,-.25772957236746,-.0361128205659534,1
0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-.868580154211381,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.300329299770781,-.431085240987066,-.189796046071016,-.623398280503587,-.696006318072743,-.738908391579663,-.428398893436199,-.25772957236746,-.0361128205659534,0
0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48643704640579,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.150960699909283,.0325453906588027,-.0482209847032847,-.623398280503587,-.696006318072743,-.738908391579663,1.51241382708471,-.25772957236746,-.0361128205659534,0
0,0,0,0,0,0,0,0,0,82,0,0,0,0,0,905,11811,0,2,0,8215,0,0,0,0,0,73,0,44,0,5,0,0,9776,0,N,29,0,21,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,-.261966787315583,-.318752005141972,.763711999484116,-.524613916369069,.358065605200226,-.332365729014105,-.300329299770781,-.431085240987066,-.189796046071016,-.431397648081838,2.3967182233125,-1.06008913964555,-.428398893436199,-.25772957236746,-.0361128205659534,1
0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,244,0,0,0,0,5229,0,0,0,0,0,1,0,0,0,1,0,0,0,0,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.48643704640579,-.318752005141972,-.416758203252142,-.209476318255293,-.12739991982212,-.100376227976867,-.300329299770781,-.431085240987066,-.189796046071016,-.623398280503587,-.696006318072743,-.738908391579663,-.428398893436199,-.25772957236746,-.0361128205659534,0
