alaika,pala,asmenot,rkkot,filter_$
16,145,18000,124000,0
19,48,10824,48500,0
5,70,6144,93500,0
9,102,3660,100500,1
0,47,11196,37500,1
4,64,4920,75500,1
40,130,3540,69500,0
36,72,4596,33500,0
25,75,480,137000,1
48,150,7740,121500,1
20,120,5532,160500,1
10,120,3720,51500,1
83,40,0,24500,0
65,56,744,21500,0
3,119,9000,99500,0
24,100,13800,153500,1
16,130,9672,153000,1
10,56,2340,80000,0
24,108,2004,116000,0
2,70,8400,65000,0
15,176,7800,140500,0
18,120,3960,159000,0
28,117,7200,92000,1
3,72,6036,164500,0
6,120,7284,129500,0
14,72,6480,54500,0
38,76,3420,79500,0
4,60,13200,96000,1
59,156,1800,112000,0
13,120,1080,88000,0
61,60,3120,85000,1
59,62,360,56000,1
63,111,6924,104000,1
9,165,9000,154000,0
13,70,5580,115000,0
12,76,12300,87000,0
3,73,5616,76000,0
8,120,4200,132000,1
7,76,14244,71500,0
8,120,6000,121000,0
45,86,5100,72500,1
12,88,2160,83000,0
2,61,1476,92500,1
58,86,684,54000,0
39,79,16680,97000,0
37,250,1800,174500,0
20,112,6864,135500,1
9,119,7428,129000,1
1,52,9612,64000,0
37,74,6564,65000,1
31,140,2040,116500,1
11,94,9120,102500,1
61,144,4560,84000,0
4,120,6600,124500,1
17,164,5640,141000,1
10,160,5220,110000,0
10,78,6024,115500,1
28,110,6000,95500,1
26,150,5400,140000,0
32,132,7620,74500,1
4,80,5340,60000,1
2,75,6300,163500,0
0,75,6120,131000,1
15,120,3912,119500,0
2,66,14160,67500,0
12,60,14400,98000,1
11,125,6888,114000,0
38,110,3720,75000,0
44,240,11496,115000,1
21,100,6252,183000,0
1,35,5400,10500,0
27,139,1560,77500,0
11,56,2172,50500,1
14,70,10800,124500,0
16,70,9600,104500,1
25,105,20400,77000,0
38,182,1320,45000,0
17,79,3240,98000,1
42,45,4272,47000,0
0,78,5352,9000,0
15,143,5304,150000,1
2,60,18000,72500,0
1,61,7200,68000,0
0,75,18000,94000,1
6,118,5400,133500,1
21,48,3036,73000,1
4,80,6180,139500,1
20,52,4368,57500,0
3,95,13716,98500,1
53,130,3600,96500,0
18,100,2496,100500,1
0,43,12336,38500,1
51,85,1992,7000,0
56,58,7860,54500,0
59,100,5196,49000,1
10,130,6396,109000,1
1,33,2220,11500,0
50,45,0,28000,0
3,110,14400,107500,0
4,51,4200,111000,0
10,90,3492,129000,1
15,110,8364,105000,1
17,100,9600,127000,0
24,54,9120,89500,0
38,116,5004,140000,0
7,56,7800,87500,0
3,105,3828,140500,1
35,88,5616,48500,0
19,99,2376,144500,0
0,93,18672,42000,1
15,144,6840,98000,1
50,55,720,47500,1
4,120,4680,106500,1
70,68,600,65000,1
47,80,0,60500,0
28,105,11688,64500,1
0,34,10800,11000,1
0,60,2040,42000,0
71,84,5160,85500,0
30,50,1200,42500,0
6,138,7800,148500,1
44,88,1200,140000,1
20,120,11880,118000,0
18,120,7716,310000,0
38,51,5916,69000,1
13,120,7560,109500,1
14,80,8004,228500,1
6,121,9660,163000,0
0,32,10056,78500,1
21,98,7020,135000,0
40,120,9600,186500,1
10,126,7380,171000,0
29,150,3960,214500,0
10,100,3600,172500,1
17,80,4944,96500,0
1,25,4884,23500,0
31,63,10800,86500,0
46,140,1404,81000,1
67,90,2160,63000,1
71,82,6612,47500,0
67,76,6132,30000,1
-9999,10,0,28500,0
76,75,3348,48500,1
46,88,6540,108000,1
1,46,2400,91000,1
23,60,1500,124500,0
2,35,3000,52500,0
10,62,10764,72500,0
0,114,9600,23000,0
42,70,840,86000,0
27,100,4200,57000,0
15,50,12000,51500,1
14,130,4200,149500,1
0,60,15000,110500,1
6,120,5280,133000,0
4,100,5100,127500,1
0,35,10800,13000,0
4,45,3780,38500,0
0,55,5976,135500,1
46,53,4368,24000,1
1,96,2352,156000,0
4,59,12000,53500,0
1,47,3120,78000,0
1,40,3960,77000,1
5,34,2244,41500,1
15,100,8520,189500,1
23,20,3600,42500,0
17,68,9312,108000,0
10,71,6600,138000,1
0,33,12000,37000,1
2,114,4632,101500,0
1,34,7440,92000,0
20,76,7380,108000,0
13,80,12000,113500,0
2,59,5400,111500,1
1,52,10200,107000,1
19,94,12600,131000,0
1,47,9600,79000,1
15,57,3900,101500,1
2,44,5664,100000,0
1,100,9600,150000,0
12,49,5160,101000,0
4,54,8544,79000,0
1,52,13440,82500,1
4,82,13560,104000,0
3,80,6960,102000,0
1,67,12000,107000,1
1,57,13920,83500,1
3,39,6780,64000,1
0,34,9960,13000,1
1,100,7740,144500,0
1,130,7200,131500,1
29,70,2952,37000,1
0,70,4200,75000,0
2,200,15000,130000,0
0,130,28980,108500,0
19,130,7800,134500,1
2,56,10380,85500,1
17,107,648,141000,1
36,70,7860,86000,1
17,76,11712,107000,0
13,130,12600,133000,0
42,82,7200,34500,1
8,97,5400,94000,1
1,150,4152,69500,1
10,107,4800,121500,0
6,37,3720,54500,1
10,144,7080,164000,0
8,104,4920,59500,1
53,100,5640,165500,0
61,45,0,47500,1
44,70,720,50000,1
58,50,2400,46500,0
8,100,3300,110500,1
2,28,6360,22500,1
23,120,10296,89500,0
35,75,5100,62500,1
26,130,5340,135000,1
17,110,5760,166000,1
38,98,4188,112000,0
66,50,600,86500,0
10,30,3348,44500,1
40,60,252,55000,0
10,118,2652,107500,0
3,105,2172,132000,0
33,140,4740,83500,0
79,20,1200,25000,1
25,78,8400,86000,0
2,118,7800,149000,1
3,25,3600,22000,0
9,100,3000,89000,0
30,56,7800,109000,1
28,78,7200,117000,0
17,44,9000,105500,1
16,66,2520,69500,0
4,102,8520,144500,0
0,125,34320,67000,0
5,120,1200,122500,0
40,100,3456,78000,0
10,76,12720,87500,0
15,62,12000,148500,1
49,130,300,56500,0
17,84,17460,57000,0
56,40,1800,49500,0
11,68,7920,123500,0
56,68,6120,93000,0
1,61,12000,101000,0
3,120,6180,127500,1
8,90,7920,124000,0
11,112,4800,169500,1
12,119,9000,132500,1
6,48,9120,62500,0
0,30,7200,96500,0
3,105,6240,117000,1
0,115,23400,90500,1
8,140,5736,89000,1
15,110,4656,143000,0
22,54,12864,63500,0
17,120,3000,141500,0
8,117,9600,97500,0
0,30,9600,49000,1
34,79,5700,132000,0
0,25,5916,36000,1
52,45,996,30500,0
18,90,2700,143500,0
11,65,5304,62500,0
54,115,4056,57500,0
12,232,11004,49000,1
44,85,684,139500,0
5,134,6000,135500,0
1,68,10200,90000,1
4,80,13200,138000,0
12,107,6432,107000,1
29,64,3720,44000,0
23,100,1800,147000,1
15,70,3096,44500,0
13,66,7008,86500,0
14,59,9960,64000,0
1,60,6000,27500,0
4,53,5784,102500,0
0,117,5640,54500,1
8,71,9600,92000,1
7,85,6000,93500,0
2,23,4320,32000,1
5,32,7200,60500,1
6,70,4500,106000,1
15,63,5640,105000,1
3,60,10800,97000,0
6,80,5964,111000,0
6,70,8004,125500,0
54,37,6000,42000,0
7,181,7200,146500,1
3,60,10968,54500,0
13,70,18000,107500,1
32,110,4500,43000,1
10,80,6204,142000,0
3,32,2892,51500,1
9,75,15600,137500,0
25,103,10956,108000,1
47,78,4140,82500,0
7,47,5400,131000,1
3,135,10200,173000,1
21,100,6000,105500,0
35,87,4992,160500,0
58,34,4764,56000,0
24,60,7008,51000,0
1,44,5952,15000,1
47,110,4284,95500,1
23,90,4800,107000,0
22,39,8400,22000,0
27,150,3576,102500,0
45,65,5856,198000,0
39,54,3708,87500,1
3,75,6000,118500,0
72,51,8796,42500,0
22,86,5760,132000,0
23,58,6000,85000,1
0,105,18000,99500,0
1,67,8280,55500,1
4,33,3912,41000,1
0,79,7632,146500,1
4,120,9600,162000,0
19,114,12000,160000,1
13,74,6900,38500,1
33,83,9888,158000,1
6,81,6096,146500,1
1,76,16716,82500,0
40,90,7428,72500,1
18,130,8724,99500,1
17,45,7992,50500,0
23,76,8880,81000,1
12,126,6108,117000,0
10,100,4416,94500,1
23,101,5100,63500,1
37,170,11400,126500,0
1,57,16500,67500,1
1,45,15144,118500,1
7,59,5268,110000,1
17,70,0,71000,0
30,137,804,47000,0
39,100,6444,112500,1
74,70,804,52000,1
25,106,540,51500,1
15,200,5400,119000,1
35,62,2148,20500,1
3,35,7416,38500,0
2,83,5700,93000,0
18,122,4200,94000,0
4,47,9972,36500,1
50,96,7200,94000,1
65,104,2160,80500,0
5,86,5760,103000,1
38,92,1800,44000,0
53,40,0,26000,1
51,100,7284,180000,0
20,119,10800,49000,0
4,105,0,130000,1
0,50,15600,60500,1
7,100,6720,59500,1
7,70,6000,54500,1
17,85,1800,185000,1
6,120,5136,114000,1
71,109,6060,175500,1
10,116,7440,155500,0
5,150,6300,52500,0
30,203,720,195500,0
32,104,3504,55500,0
1,45,11280,72000,0
4,90,2952,110000,1
36,113,6756,95500,0
16,105,8220,126500,1
5,80,7200,99500,0
6,80,4800,141000,0
1,58,6960,36000,1
0,50,11568,27500,0
35,35,10020,70000,0
5,60,9600,111500,0
6,120,8400,115000,1
6,76,6000,194500,1
3,88,3600,75000,0
10,28,3504,53000,1
19,90,3960,115000,0
24,60,4680,66500,1
10,90,13740,79000,0
60,235,1992,246000,0
26,95,744,127500,0
0,215,11592,114500,0
14,21,2604,41500,1
40,98,648,28500,1
18,87,9396,83500,1
30,103,8868,170500,0
25,55,5880,53500,1
4,43,9312,39500,1
3,60,11400,92500,1
29,100,6660,128500,1
16,71,7560,138000,0
13,64,16128,120000,0
2,111,6840,89000,0
15,78,15588,77000,0
21,80,10440,117500,1
19,96,7776,77000,0
13,130,7848,128000,1
7,59,7968,39500,1
5,79,5688,66000,0
24,72,1680,109500,0
9,70,15600,96500,0
60,90,1236,62000,1
2,90,4500,55000,1
34,120,4200,102500,0
78,105,1440,76000,0
29,26,6120,48500,0
2,80,5040,13500,0
21,100,7200,90500,0
18,110,8220,145000,1
9,73,6804,114000,0
10,36,8400,26000,1
15,48,4800,58000,0
36,53,5136,86500,0
16,69,14400,84000,0
16,146,5112,152000,0
10,120,7320,132000,1
12,100,4620,104500,0
24,32,1416,28000,0
28,74,14400,161000,1
5,32,8400,109500,0
3,80,12156,60000,0
30,53,4800,75000,1
1,47,4320,36000,0
7,35,9264,34000,1
20,52,7392,68000,1
3,105,12000,147500,1
0,72,6084,137500,0
3,65,16008,97500,0
15,100,13200,168500,0
17,84,8736,209500,0
0,60,12132,125000,0
8,200,7860,161000,0
3,95,9720,86000,1
2,20,6840,16500,1
37,70,0,26500,0
25,140,1116,30000,1
28,36,840,120500,1
62,100,552,79500,0
14,130,360,66000,0
1,34,8568,26000,0
42,57,14376,61000,1
33,75,7200,106500,1
50,12,0,56000,0
13,250,12000,115000,1
39,60,3324,73500,1
22,100,7800,133000,0
36,45,648,58000,1
19,120,8040,230000,1
10,85,5880,116500,1
38,150,3720,131500,1
40,65,3240,30500,1
55,80,4032,70500,0
41,90,1056,83500,0
34,51,7512,62500,1
0,68,7500,13500,0
1,126,4200,94500,1
11,62,12360,103000,0
32,100,19200,118500,1
0,83,6732,122500,1
14,80,5520,152000,1
9,33,420,31500,1
0,46,5148,10000,1
11,109,7248,117000,0
26,79,6252,84500,0
22,38,7800,145500,0
7,78,3048,140000,0
7,61,4680,102500,1
13,140,1452,140000,0
12,120,12720,133500,1
5,150,8544,104000,0
0,15,9600,34500,1
4,75,7560,92000,1
19,80,9804,144500,0
25,100,4392,60500,0
6,76,6108,118500,0
0,80,4800,92000,1
6,58,15120,109000,0
7,150,6420,142000,0
13,55,12000,78500,1
10,52,14400,72500,0
4,62,12468,82000,0
1,20,5748,14000,1
1,147,9036,287000,1
20,100,9000,34000,1
6,58,4440,53000,0
0,43,3324,45500,1
25,58,4200,81500,0
2,103,6000,124000,0
22,100,6000,121500,0
12,31,3084,35500,1
12,120,5160,127500,0
10,119,5400,111500,1
7,100,4800,136500,1
5,88,4800,135000,0
8,119,7200,138500,0
12,130,10800,134500,1
43,190,2400,124500,0
2,58,9960,102000,1
3,78,5400,92500,1
10,105,6000,127000,1
3,79,5220,54500,0
10,73,16200,117000,0
29,105,3600,123500,1
35,105,8700,133500,1
16,57,16800,138000,1
36,80,6720,72500,0
17,120,4200,178500,0
51,150,2316,87500,1
35,117,7680,105500,0
29,25,4152,31500,1
66,83,7800,55500,0
63,40,7200,52500,1
35,180,6360,71500,1
1,43,6384,6500,1
3,90,6000,73000,1
36,120,8112,166000,0
1,141,4500,152000,1
18,100,8280,195500,1
25,82,20400,117500,1
14,96,15408,110500,0
7,76,7932,122500,0
31,90,5916,117500,0
11,107,5592,112000,0
0,55,14400,11000,1
8,200,10800,146500,0
10,100,6600,114000,0
60,90,4440,124000,0
7,130,6360,123000,1
25,106,4800,69500,0
16,130,5760,153500,0
58,30,8460,31000,1
3,65,13200,120000,1
9,114,4200,215500,0
18,30,19200,131000,1
20,23,1140,26500,0
60,96,2760,55000,1
31,35,2760,30500,0
42,45,816,29500,1
22,100,3840,75000,0
16,74,8784,118500,1
17,104,1248,81000,0
20,52,3420,67000,1
52,85,7428,28000,1
41,100,3612,117000,0
8,120,5688,106500,1
16,57,6672,43500,0
44,40,480,26500,1
12,60,4320,107000,0
63,35,3060,43000,0
9,100,21600,93500,0
30,108,4560,106500,1
22,120,1200,101500,0
0,45,7920,30000,0
17,68,6000,107500,1
21,49,10692,66500,1
2,27,7800,22500,0
20,105,6600,6500,1
18,120,3600,121000,0
17,120,1200,238000,1
16,120,6600,92500,0
0,24,4812,43000,0
19,101,3204,116500,0
4,100,1248,8500,1
12,16,2400,23000,0
47,119,1968,74000,1
10,185,6000,310000,0
1,130,12300,90500,1
5,76,9660,87500,1
19,34,7416,35500,0
5,59,0,54500,0
11,124,19680,161500,1
23,108,5952,173500,1
36,101,5400,145500,1
17,80,18000,140000,1
0,15,3120,8000,0
9,29,4800,39000,1
32,60,4968,59000,1
46,76,15840,59500,0
3,53,3000,79500,1
5,114,8400,130500,0
9,31,4464,91000,0
6,165,12840,310000,1
3,30,2796,108500,1
4,25,6000,31500,0
7,70,14460,6500,0
8,75,18000,69000,0
0,54,5280,55500,0
3,56,5280,84000,1
18,87,8808,163500,1
7,55,10200,94000,0
0,56,11556,44500,0
0,80,3996,111000,1
2,30,9960,39000,1
4,100,7800,164000,0
0,50,4140,66000,1
3,29,7764,22500,0
3,120,8340,149500,1
24,99,11880,145500,0
13,45,4800,107000,1
0,127,7164,164000,1
0,70,3600,85500,0
39,42,4356,34000,0
17,100,5640,193500,0
0,76,5040,78500,0
26,58,4800,24000,1
46,66,6000,70500,1
8,100,5928,151500,0
4,86,6360,140500,1
20,59,4584,59500,0
4,67,8040,179000,1
26,48,4800,59000,1
6,57,9960,56500,0
4,55,5016,27000,0
11,52,11520,123500,1
6,110,6000,158000,1
9,78,3720,117000,1
3,48,4080,121500,0
3,84,11124,112000,0
17,85,4212,113500,1
10,95,6000,197500,1
14,246,15000,126500,1
10,250,5400,127000,1
3,20,4800,28500,0
39,36,5784,93000,0
3,65,14640,77000,0
5,34,2520,39500,1
9,66,9600,48000,0
8,75,7800,125000,0
9,89,10800,159000,1
12,94,18720,98000,1
9,93,9600,143500,1
2,58,14652,95500,1
2,64,13200,106500,1
0,96,13752,94500,1
2,62,13992,79000,0
3,60,8220,60000,1
10,119,6000,130000,0
9,59,15600,98500,1
8,120,6240,83000,1
4,138,10440,174500,1
0,165,30000,310000,0
20,70,7608,131500,0
22,95,6120,83500,0
24,75,8100,132500,1
3,48,4440,107500,0
16,34,10320,38000,1
1,70,15600,67000,1
2,34,4440,49000,0
7,57,5364,35500,1
16,75,6516,144000,1
2,19,5400,20000,1
2,154,9000,151500,1
4,28,4200,86500,1
14,140,10200,222000,1
16,120,10320,77500,1
3,74,16800,93000,0
15,100,948,87000,1
28,80,2064,55000,1
34,99,14352,96500,1
79,133,9036,62500,1
26,99,5640,96000,1
16,48,4896,21500,1
41,125,1896,96500,0
3,138,6000,119000,1
45,100,6732,81000,1
1,36,4080,46000,0
37,125,5400,206000,0
0,47,8796,104500,0
62,100,7500,80000,0
10,89,6000,103500,1
31,103,3996,100000,0
18,91,4608,83500,0
80,93,7968,148500,0
27,82,8400,66500,1
12,52,4488,76500,1
6,90,15000,72500,1
1,78,5640,110500,0
0,65,4200,87000,1
6,83,7800,126000,0
17,74,13140,170000,0
2,51,12312,33500,1
1,56,13308,59500,0
2,34,9012,38500,0
18,80,14400,127000,1
17,45,3000,109000,0
3,170,9600,175500,0
4,117,3600,120000,0
0,27,8400,28500,1
3,47,3000,103500,0
4,82,8088,112500,1
5,97,12960,145500,1
0,35,0,31500,0
6,90,5040,127500,0
1,86,6000,175000,1
13,78,7488,72500,0
13,76,7224,82500,1
19,100,7548,97500,0
16,75,6912,58000,1
5,58,9708,108000,0
5,34,8064,35500,0
8,79,13248,99500,1
10,70,10080,150000,0
3,33,10344,54000,0
10,92,6600,103500,0
30,110,3696,56000,0
10,119,7200,185500,0
5,97,8400,160500,1
2,95,4800,139000,1
0,15,0,6500,0
20,128,3780,115000,0
20,100,14400,152500,0
0,63,15828,39500,1
5,58,5916,34000,0
9,91,8736,77000,1
26,57,4848,58500,1
0,85,11100,83000,0
2,37,4440,72000,1
5,75,7560,171000,1
24,111,14400,310000,0
14,100,10212,146000,1
0,87,16800,107500,0
0,60,17280,82500,1
10,75,14712,130500,1
10,77,10800,106000,0
6,65,9600,109000,1
8,77,10560,107000,1
3,115,30000,129000,1
23,30,6600,35000,0
14,63,10800,196000,0
12,40,4560,33000,0
8,62,7236,129000,0
48,30,2880,61500,1
73,220,13704,109000,0
7,74,6600,125000,0
2,35,4200,43000,0
14,36,4116,52000,0
1,138,12000,140000,1
15,75,13200,106500,0
6,72,16128,79000,0
22,114,12000,162000,0
0,50,7200,49000,1
18,65,12600,98500,1
22,51,5772,37500,1
13,105,7596,178000,1
18,250,15000,113000,0
32,63,11760,94000,1
1,10,0,39500,1
14,93,12000,171500,0
44,70,6384,112000,0
67,74,1656,73000,0
40,200,960,78500,0
2,117,3900,138000,1
0,49,13548,70000,1
10,55,11088,47500,1
12,113,3492,109500,1
17,98,12240,201500,1
18,100,6840,93500,0
1,75,19200,78500,0
3,62,12600,135500,0
2,123,12780,161500,0
6,160,13800,310000,0
27,106,18000,104500,0
5,100,11400,180500,1
18,127,10800,220000,0
20,111,7200,116000,1
6,75,7200,118500,0
31,100,7440,182500,0
1,70,8160,71500,0
7,28,5940,51000,1
8,98,5160,107500,0
6,118,6000,91500,0
18,55,3180,105500,1
3,101,5460,159000,0
30,79,7500,93000,1
40,75,2160,40000,0
69,90,3840,152000,1
13,170,8916,200500,0
3,100,5400,56500,0
20,160,26304,174000,0
12,100,8640,149500,0
22,100,7680,66500,0
52,28,14400,28500,0
10,24,5400,42500,0
19,125,3900,61000,0
16,220,0,272000,0
19,245,9276,146500,1
4,119,6000,142500,0
3,112,6480,119000,1
0,45,5520,54000,0
55,65,696,41500,0
20,56,6048,35000,0
4,68,11136,79000,0
9,75,5172,50000,0
6,170,10560,173500,1
0,110,9600,140500,0
2,59,11244,60500,0
18,57,9096,34500,1
0,14,4980,37000,0
7,89,10008,179000,0
11,122,11700,196500,0
29,80,3600,53500,0
26,48,4800,72500,1
1,52,13428,22500,0
10,74,6600,84500,1
38,42,4800,116000,1
0,60,6000,73000,0
12,64,7200,122000,0
4,105,6780,137000,1
17,79,14268,82500,0
5,91,6720,120000,1
5,76,9000,91500,0
2,54,9660,53000,1
15,90,6000,104000,1
7,30,6036,32500,0
0,33,8376,33500,1
12,75,6600,139000,1
5,110,7992,135000,1
10,44,8424,37000,1
9,120,5520,124000,0
1,100,6252,155500,1
23,96,5880,74500,0
4,65,4680,61500,0
16,106,7812,74000,1
13,76,4800,106000,1
27,80,1140,44500,1
54,80,4920,62000,0
29,70,3960,78500,1
1,48,3840,17000,0
12,105,9144,119500,0
2,80,4980,64500,0
80,60,3408,71000,0
0,61,14292,45500,0
46,35,3600,30000,0
24,110,1200,157000,0
26,66,6336,91500,0
0,30,7200,30000,0
47,79,6096,41500,0
8,112,5760,113000,1
21,65,3600,143500,0
54,93,8040,68500,1
9,100,7800,165500,0
20,100,7392,119000,0
23,100,5040,66500,1
0,75,7236,76000,1
24,60,780,47000,0
44,84,3120,96500,0
1,52,13200,27500,0
24,47,6000,44000,0
4,138,2004,146000,0
34,60,3600,102500,0
50,54,5280,87000,1
61,68,3972,54500,1
23,145,4680,172500,1
34,92,12000,29500,0
3,77,11400,82000,0
2,105,5580,118000,0
8,128,3420,67000,0
15,100,7200,170500,0
7,67,7800,77000,1
3,130,3060,163500,1
2,35,3480,37000,0
49,60,4320,31500,0
3,35,7200,45500,0
26,84,8004,105500,0
9,98,6600,96000,1
16,160,3780,138000,1
41,74,9096,44000,0
8,108,9264,115500,1
49,130,2784,95000,0
20,70,504,88500,0
43,60,624,131500,0
20,34,3096,47000,0
63,35,144,102000,0
0,55,6312,33000,1
20,136,2040,173000,0
3,60,6900,92000,1
52,90,2160,136000,0
22,180,67488,229500,1
2,79,19428,91500,0
19,120,8688,75000,0
2,74,9600,70000,1
18,59,300,38500,0
25,34,5196,31500,1
3,33,7800,81000,1
9,120,4200,123500,0
16,100,22200,101000,0
0,69,15900,117000,1
45,150,3672,96000,1
7,120,5688,172500,0
30,150,10800,184000,0
12,31,7800,29500,0
44,110,3600,101000,0
2,103,3960,99000,1
0,104,7800,109500,1
0,35,9240,79500,1
35,37,4440,52500,0
18,120,7200,86000,0
37,100,6240,50000,0
11,75,18000,79000,1
57,210,9300,238000,0
0,68,8196,56000,1
5,32,7668,16500,0
3,80,15000,94000,1
0,12,0,25000,1
11,75,4200,105500,0
12,100,7440,106000,1
24,74,5760,105000,0
14,61,7860,123000,1
5,75,10860,120000,0
30,79,4320,51500,0
13,100,7320,104000,0
2,100,5592,64500,0
35,140,600,107000,1
86,18,0,38000,1
79,80,3000,84500,1
41,80,6000,82500,0
20,117,6600,117500,0
24,18,27000,72000,0
11,35,9600,84500,0
16,165,7068,88500,0
16,63,13692,59000,1
55,75,16440,56000,0
22,100,3600,95000,1
34,210,5400,90500,0
31,75,6324,108000,0
47,38,6000,39000,0
9,47,7476,107500,1
19,54,9600,66500,0
15,119,5640,87500,1
37,180,3996,153000,1
12,57,5424,59000,1
19,110,5400,106500,1
5,220,1440,93000,1
16,150,4920,101000,0
1,43,7200,38000,1
20,75,18000,103500,1
15,170,9600,218000,1
1,32,3588,118500,1
1,89,15000,98500,0
1,48,10560,71500,0
19,65,6000,161500,1
47,170,5400,139000,1
3,80,5760,128000,0
0,60,15300,111000,1
12,71,8400,68500,0
50,89,5904,107500,0
0,76,17640,82000,0
7,119,3732,147500,1
2,20,7200,10000,0
24,80,6240,110000,1
7,100,5580,88500,0
33,100,6000,70000,0
3,138,6120,120500,0
5,83,4380,155500,0
24,100,6120,103000,0
2,50,4560,8000,1
5,42,4776,133500,0
0,71,6288,61000,0
2,61,7680,77500,0
6,63,8376,147000,1
2,49,10680,111000,0
0,42,14820,43500,0
10,60,7680,179000,0
4,43,6000,161000,1
40,63,8400,74000,1
2,36,8160,35500,1
30,85,6804,62500,1
46,122,3060,88500,0
3,89,12000,114500,0
6,42,7800,99500,1
8,81,8208,169500,1
2,46,8760,110000,1
3,106,6720,156000,1
7,74,8964,113000,0
3,122,6360,145500,1
0,21,2772,59500,0
3,88,5244,125000,1
30,60,3900,160500,0
35,120,6360,82000,0
32,57,13596,66500,0
2,58,14880,93000,0
5,58,11280,59500,0
15,84,888,60000,1
2,79,13200,122000,0
20,110,1500,58000,0
4,120,6000,161500,1
1,36,10020,106500,1
18,150,7056,205000,0
13,137,5880,93500,0
0,79,16800,63000,0
2,63,13800,39000,1
4,30,6876,22500,1
33,47,3360,48500,0
6,74,8400,59500,1
19,61,4800,71000,1
2,92,15000,164500,0
24,92,5400,205500,0
3,30,2448,50500,1
60,56,5784,78500,1
17,70,3516,119500,1
0,12,0,40500,0
43,39,9600,59500,0
4,102,6600,57000,0
0,90,4392,85500,0
0,46,9600,73000,1
17,56,12684,44000,1
16,59,5400,157000,0
6,72,15540,130000,1
17,15,0,10500,0
38,74,3732,115500,1
19,85,6120,80500,0
6,85,4416,128000,1
6,12,0,17500,0
12,117,5928,143500,1
30,25,2400,61000,1
5,96,8832,104000,0
7,75,1920,112000,0
32,110,624,9500,0
22,58,13200,94000,1
9,48,8388,68500,0
15,150,6600,164000,0
-9999,50,996,37000,0
0,136,6996,113500,0
0,52,11172,49000,0
53,110,2880,171000,1
9,110,4584,105000,1
0,39,12000,310000,0
6,115,11964,129500,1
54,115,1344,37500,0
9,75,14400,86500,1
3,55,11364,100500,1
23,30,6600,44000,0
42,140,8016,126500,0
0,23,6600,14000,0
11,82,5964,117000,0
7,124,7740,116500,0
3,63,17280,40000,0
0,61,14364,85000,1
3,47,7632,54000,0
7,48,4200,37500,1
0,24,8400,118000,1
6,70,12900,98500,1
13,92,14400,170000,1
0,44,9480,72000,1
11,73,6180,103500,0
11,48,10056,47000,0
15,90,7740,104500,1
16,175,6600,233500,1
11,76,12000,157500,1
16,90,2544,68500,1
37,200,5160,123500,0
4,99,5400,126500,1
33,110,3000,63500,1
