alaika,pala,asmenot,rkkot,filter_$
12,55,5376,65000,1
15,42,7068,71500,0
40,52,12600,46500,0
14,26,3360,89500,1
15,38,4560,37000,0
41,42,5316,34000,0
42,19,2376,27000,0
11,48,9360,66500,0
14,25,5472,32500,0
4,77,6840,148500,0
5,70,7440,100500,1
10,50,11760,167500,1
24,30,2880,31000,0
1,48,3456,89500,1
7,35,9204,55000,0
18,15,1680,33500,0
33,15,18000,32000,0
33,47,7800,62000,0
0,35,7800,125000,1
1,47,7800,131500,0
7,58,5760,85500,1
17,69,14400,117500,1
11,78,14400,101000,0
0,74,14040,98500,0
12,54,7200,142500,0
25,38,4956,39000,1
0,78,8904,119000,0
20,50,5040,53000,0
7,57,7200,104000,0
6,51,9600,75500,0
20,75,9600,137500,1
24,120,12000,80500,0
0,50,4200,81000,1
5,51,10932,64000,1
4,62,12240,48000,1
6,81,7800,155500,0
9,120,1476,151500,0
49,90,6000,55500,0
0,66,12840,83500,0
46,100,9600,64500,1
0,26,8664,96000,0
3,55,11532,75500,1
0,74,6072,47500,0
0,10,7800,48500,1
24,60,18600,105500,0
15,60,6996,137500,0
5,61,6600,89000,1
33,86,9984,143000,0
0,68,20400,152500,1
7,94,19200,112500,0
14,80,15600,112500,0
2,52,13368,88500,0
6,29,12000,54000,0
6,58,12852,113000,0
7,28,7200,35000,0
7,105,15600,141500,1
7,63,13500,44500,1
5,83,7056,152000,0
17,132,12720,175000,0
13,98,8196,154000,0
3,60,23400,73000,0
17,92,8400,165000,1
2,33,8064,53500,0
3,47,12720,102000,0
6,93,21240,142000,1
0,90,20160,123500,0
1,60,15396,63000,1
8,70,6720,144000,1
8,87,6228,209000,1
0,34,15000,56000,0
20,88,6936,112500,1
7,63,7752,78000,0
13,35,4320,65500,0
8,81,6600,149500,1
11,28,5928,25500,1
3,72,7200,165500,0
10,89,10800,168000,0
24,37,4560,87000,1
6,47,5436,224000,0
22,54,9444,42500,0
31,50,6360,57000,0
18,50,9600,93500,1
5,86,12000,251000,1
13,66,5580,37000,1
24,120,16800,85000,0
14,186,19800,221500,1
6,33,3000,53500,0
0,80,7800,182000,1
3,69,7104,115500,1
16,120,8892,140000,0
11,97,9120,162500,1
3,120,9000,151000,0
6,56,8400,141500,0
16,80,16800,164500,0
9,98,27600,137500,1
21,32,3888,33000,0
2,41,5244,79000,0
6,57,13200,125000,0
4,80,9600,73500,0
19,68,13800,139500,0
8,86,9696,176500,1
6,62,6240,166000,0
6,33,9300,36000,1
0,84,21720,178000,1
6,54,13440,122500,1
16,56,6168,116500,0
20,36,3600,29500,1
16,78,7500,137000,0
15,73,6420,158000,0
9,42,7200,37500,1
18,57,14400,122000,1
20,54,10200,90500,0
2,81,8400,223000,0
3,58,15720,90500,0
21,61,14400,108500,1
18,160,9000,188500,0
18,80,5988,143500,1
9,90,7800,130000,1
3,76,12600,103000,0
10,100,8400,168000,0
1,55,6480,123000,0
5,77,8940,22000,0
1,50,6240,108000,1
15,50,7200,91000,0
11,73,9600,116000,1
16,83,7680,136500,1
2,90,6000,120000,1
