a1,a2,q21,q23,k16_1,k16_2,k16_3,k16_4,k16_5,k16_6,k16_7,k16_8,k16_9,k16_10,k16_11,k16_12,k22,k23,d1,d2,d3_1,d3_2,d4,d10,d32,filter_$
498004,5761,2,1, , , , , , , , , , , , ,3,1,1955,1,1,7,4,6,2,1
498005,5761,2,3, , , , , , , , , , , , ,2,1,1991,1,2,7,1,1,1,0
498007,5761,1,3,3,3,1,3,3,2,3,2,2,3,3,3, , ,1990,1,2,7,1,5,2,1
498008,5761,3,1, , , , , , , , , , , , ,2,2,1988,2,4,4,1,1,1,0
498009,5761,2,3, , , , , , , , , , , , ,2,2,1991,2,2,1,1,6,1,1
498010,5761,2,1, , , , , , , , , , , , ,2,1,1950,2,4,6,1,8,1,1
498015,5761,2,1, , , , , , , , , , , , ,3,1,1985,1,4,6,4,6,1,1
498016,5761,2,1, , , , , , , , , , , , ,2,2,1955,2,2,3,2,1,1,1
438001,5701,2,1, , , , , , , , , , , , ,2,1,1962,2,4,6,1,6,1,0
438002,5701,3,1, , , , , , , , , , , , ,3,2,1957,1,2,2,2,1,1,1
438003,5701,1,1,2,2,1,3,3,3,1,2,1,1,1,1, , ,1983,2,2,3,3,1,2,1
438004,5701,2,1, , , , , , , , , , , , ,2,2,1953,2,1,7,2,1,1,1
438005,5701,2,1, , , , , , , , , , , , ,2,2,1978,1,4,6,1,6,1,0
438006,5701,2,1, , , , , , , , , , , , ,2,1,1956,1,4,6,4,5,2,0
438007,5701,2,1, , , , , , , , , , , , ,2,2,1961,1,2,3,3,8,1,1
438008,5701,3,1, , , , , , , , , , , , ,3,1,1957,2,1,3,2,1,1,0
438009,5701,2,1, , , , , , , , , , , , ,3,1,1938,1,4,6,2,7,1,0
438010,5701,3,8, , , , , , , , , , , , ,1,2,1975,2,4,7,1,5,2,1
438011,5701,3,1, , , , , , , , , , , , ,3,1,1944,2,2,2,5,7,1,1
438012,5701,3,1, , , , , , , , , , , , ,2,1,1975,2,2,5,1,1,1,1
 , , , , , , , , , , , , , , , , , , , , , , , , ,0
438014,5701,2,1, , , , , , , , , , , , ,2,1,1988,1,4,5,3,6,1,0
438015,5701,3,1, , , , , , , , , , , , ,2,2,1948,1,2,3,4,3,1,0
438016,5701,2,1, , , , , , , , , , , , ,2,1,1949,1,2,3,2,8,1,0
438019,5701,3,1, , , , , , , , , , , , ,2,2,1976,1,4,5,3,1,1,1
488014,5751,3,1, , , , , , , , , , , , ,1,1,1964,1,2,2,1,5,2,0
488016,5751,3,1, , , , , , , , , , , , ,2,1,1979,2,2,3,2,3,1,1
488015,5751,3,1, , , , , , , , , , , , ,3,2,1951,1,1,2,3,5,2,1
488013,5751,2,1, , , , , , , , , , , , ,3,2,1942,2,1,3,2,7,1,0
488011,5751,2,1, , , , , , , , , , , , ,1,1,1977,2,4,5,3,9,1,1
31030,3450,2,1, , , , , , , , , , , , ,3,2,1957,1,4,6,2,1,1,1
31028,3450,3,1, , , , , , , , , , , , ,2,2,1969,1,4,4,2,1,1,1
31021,3450,3,1, , , , , , , , , , , , ,3,1,1958,2,2,2,2,1,1,0
31025,3450,3,1, , , , , , , , , , , , ,2,2,1982,2,4,4,2,6,1,1
31027,3450,3,1, , , , , , , , , , , , ,3,1,1961,2,4,4,3,6,1,1
31026,3450,2,1, , , , , , , , , , , , ,3,1,1936,1,4,3,2,8,1,0
31024,3450,2,1, , , , , , , , , , , , ,3,1,1949,2,1,7,4,7,1,1
31023,3450,2,1, , , , , , , , , , , , ,3,2,1981,1,2,1,3,1,1,1
31022,3450,3,1, , , , , , , , , , , , ,3,1,1944,2,4,6,1,7,1,0
372020,5635,2,1, , , , , , , , , , , , ,3,1,1936,1,1,7,2,7,1,0
372019,5635,3,1, , , , , , , , , , , , ,2,1,1985,2,2,3,3,11,1,1
372018,5635,3,1, , , , , , , , , , , , ,3,2,1961,1,4,5,2,1,1,0
372017,5635,3,1, , , , , , , , , , , , ,2,1,1976,2,2,5,3,1,1,0
372016,5635,3,1, , , , , , , , , , , , ,3,1,1949,1,2,7,2,1,1,1
372015,5635,3,1, , , , , , , , , , , , ,3,1,1982,2,4,5,2,9,1,1
372014,5635,3,1, , , , , , , , , , , , ,2,1,1955,2,4,2,2,1,1,1
372013,5635,3,1, , , , , , , , , , , , ,2,1,1965,2,2,3,2,1,1,1
372012,5635,2,1, , , , , , , , , , , , ,3,1,1943,1,2,3,2,7,1,0
372011,5635,2,1, , , , , , , , , , , , ,3,1,1953,2,2,3,2,1,1,1
114015,5377,2,1, , , , , , , , , , , , ,3,2,1942,1,1,2,2,7,1,1
114013,5377,2,1, , , , , , , , , , , , ,1,1,1972,1,4,3,3,1,1,1
114016,5377,2,1, , , , , , , , , , , , ,3,1,1946,2,2,7,4,8,1,1
217021,5480,2,2, , , , , , , , , , , , ,3,1,1948,2,5,7,4,8,1,0
217022,5480,1,2,3,1,3,3,3,1,1,1,1,3,2,3, , ,1956,2,1,7,5,6,2,1
217023,5480,1,3,2,1,3,3,3,3,3,3,3,3,3,3, , ,1992,2,4,1,1,6,1,0
217024,5480,2,1, , , , , , , , , , , , ,2,1,1961,2,4,6,2,1,1,0
217025,5480,2,1, , , , , , , , , , , , ,3,2,1982,2,4,5,2,1,1,0
12030,2533,3,1, , , , , , , , , , , , ,3,1,1941,1,1,7,2,7,1,1
217026,5480,2,1, , , , , , , , , , , , ,2,1,1963,1,2,3,2,1,1,1
217027,5480,1,1,3,1,3,3,3,1,1,3,1,1,3,2, , ,1976,1,2,3,1,5,2,0
217028,5480,3,1, , , , , , , , , , , , ,2,2,1956,2,2,3,2,1,1,0
217029,5480,2,1, , , , , , , , , , , , ,3,1,1966,1,2,2,4,1,1,0
217030,5480,2,1, , , , , , , , , , , , ,3,2,1941,1,4,6,4,7,1,1
87031,5342,1,2,3,3,3,3,2,1,1,1,3,3,1,3, , ,1971,2,2,2,4,9,1,1
87030,5342,2,1, , , , , , , , , , , , ,3,2,1946,1,4,2,2,8,1,0
87029,5342,3,1, , , , , , , , , , , , ,1,1,1946,2,2,2,4,7,1,1
87028,5342,3,2, , , , , , , , , , , , ,3,1,1989,2,5,2,2,1,1,1
87027,5342,3,1, , , , , , , , , , , , ,2,2,1982,2,4,2,2,5,1,1
87026,5342,3,1, , , , , , , , , , , , ,2,1,1942,1,1,7,2,8,1,1
87025,5342,2,3, , , , , , , , , , , , ,3,2,1990,1,4,4,1,6,1,1
87024,5342,3,2, , , , , , , , , , , , ,3,1,1962,1,2,2,2,1,1,1
87023,5342,2,1, , , , , , , , , , , , ,2,1,1941,1,2,2,2,7,1,0
87022,5342,3,1, , , , , , , , , , , , ,2,2,1959,2,4,6,2,1,2,1
480007,2209,2,1, , , , , , , , , , , , ,3,2,1956,2,4,2,2,1,1,1
480003,2209,2,1, , , , , , , , , , , , ,2,2,1950,2,4,6,4,1,1,0
5077,2209,3,1, , , , , , , , , , , , ,3,2,1953,2,4,3,5,1,1,0
480006,2209,2,1, , , , , , , , , , , , ,3,2,1988,2,4,6,1,6,1,0
5076,2209,6,3, , , , , , , , , , , , , , ,1985,1,2,4,1,6,1,1
5075,2209,3,1, , , , , , , , , , , , ,3,1,1978,1,4,6,1,1,1,0
5074,2209,2,1, , , , , , , , , , , , ,2,2,1971,2,2,2,1,1,2,1
5072,2209,3,1, , , , , , , , , , , , ,3,1,1973,1,4,6,3,1,1,1
197099,5762,2,1, , , , , , , , , , , , ,2,1,1985,2,4,6,2,6,1,0
197097,5762,3,1, , , , , , , , , , , , ,1,1,1955,2,2,3,2,7,1,1
88011,5351,2,1, , , , , , , , , , , , ,3,1,1935,1,1,7,2,7,1,0
88010,5351,3,1, , , , , , , , , , , , ,1,1,1951,1,2,3,2,5,2,1
88008,5351,2,1, , , , , , , , , , , , ,3,1,1951,1,2,7,2,2,1,1
88007,5351,3,1, , , , , , , , , , , , ,2,1,1953,1,4,3,2,1,2,0
88006,5351,3,1, , , , , , , , , , , , ,3,1,1954,2,2,4,2,1,1,1
88005,5351,2,1, , , , , , , , , , , , ,2,2,1980,2,2,3,1,1,1,1
88004,5351,2,1, , , , , , , , , , , , ,3,1,1945,2,1,7,4,7,1,1
88003,5351,3,1, , , , , , , , , , , , ,3,2,1951,2,1,2,3,8,1,1
88009,5351,3,1, , , , , , , , , , , , ,2,2,1951,2,4,4,1,2,1,1
88015,5351,2,1, , , , , , , , , , , , ,3,1,1978,2,4,6,2,1,1,0
88016,5351,3,1, , , , , , , , , , , , ,2,1,1967,2,4,4,4,2,1,1
88014,5351,3,1, , , , , , , , , , , , ,2,1,1973,1,4,5,2,1,1,0
88013,5351,2,1, , , , , , , , , , , , ,2,1,1985,2,4,2,3,6,1,1
88012,5351,2,1, , , , , , , , , , , , ,3,1,1963,1,4,3,1,1,1,1
88020,5351,3,1, , , , , , , , , , , , ,2,1,1953,1,2,2,2,1,1,0
88019,5351,2,1, , , , , , , , , , , , ,2,2,1970,1,4,6,2,1,1,0
88018,5351,3,3, , , , , , , , , , , , ,2,2,1991,2,4,7,1,6,1,1
88017,5351,1,2,1,1,3,3,3,3,3,3,3,3,3,3, , ,1988,2,4,4,1,6,1,0
87021,5342,3,1, , , , , , , , , , , , ,3,2,1976,2,4,3,2,1,1,0
87020,5342,2,1, , , , , , , , , , , , ,3,1,1962,2,4,3,2,2,1,1
87019,5342,2,3, , , , , , , , , , , , ,3,1,1991,1,4,7,1,6,1,0
87018,5342,3,1, , , , , , , , , , , , ,2,2,1948,2,4,6,4,8,1,0
87017,5342,3,1, , , , , , , , , , , , ,3,1,1965,1,2,2,2,1,1,0
87016,5342,3,1, , , , , , , , , , , , ,3,1,1946,1,2,3,2,7,1,1
87015,5342,2,1, , , , , , , , , , , , ,3,1,1930,2,1,7,5,8,1,0
87014,5342,2,1, , , , , , , , , , , , ,3,1,1945,1,2,3,2,7,1,1
87013,5342,2,1, , , , , , , , , , , , ,2,2,1935,1,1,3,4,8,1,0
87012,5342,2,1, , , , , , , , , , , , ,3,2,1943,1,1,2,2,7,1,0
87011,5342,3,3, , , , , , , , , , , , ,2,1,1992,1,4,7,1,1,1,0
87010,5342,2,3, , , , , , , , , , , , ,3,2,1991,1,4,7,1,6,1,1
87009,5342,3,1, , , , , , , , , , , , ,3,1,1966,2,2,3,2,1,1,0
87008,5342,3,1, , , , , , , , , , , , ,2,1,1963,2,4,6,2,1,1,1
87007,5342,1,2,1,1,3,3,3,3,1,2,1,1,2,2, , ,1974,2,4,6,1,1,2,1
87006,5342,3,1, , , , , , , , , , , , ,3,1,1965,1,4,6,2,1,1,1
87004,5342,3,1, , , , , , , , , , , , ,3,2,1934,2,2,3,4,7,1,1
87003,5342,2,1, , , , , , , , , , , , ,2,2,1941,2,4,6,4,7,1,0
87002,5342,2,1, , , , , , , , , , , , ,2,1,1939,2,2,7,2,7,1,1
87001,5342,3,1, , , , , , , , , , , , ,3,1,1938,1,2,2,5,7,1,0
4059,841,2,1, , , , , , , , , , , , ,3,1,1983,1,2,4,3,1,1,1
4057,841,2,3, , , , , , , , , , , , ,3,1,1992,1,2,1,1,6,2,1
4055,841,1,1,3,3,2,3,3,3,3,3,3,3,3,3, , ,1954,2,2,4,3,8,1,1
4053,841,3,1, , , , , , , , , , , , ,2,1,1944,2,4,6,2,7,1,1
4048,841,3,1, , , , , , , , , , , , ,3,1,1986,2,4,5,1,1,1,1
4047,841,2,1, , , , , , , , , , , , ,3,2,1954,1,2,2,2,1,1,0
42053,3745,3,1, , , , , , , , , , , , ,3,1,1971,2,2,2,2,9,1,1
42052,3745,2,1, , , , , , , , , , , , ,2,1,1962,1,2,3,1,1,2,1
411003,5674,2,1, , , , , , , , , , , , ,3,1,1946,1,4,6,4,7,1,0
411002,5674,3,1, , , , , , , , , , , , ,1,1,1978,1,4,6,1,1,1,0
411001,5674,3,1, , , , , , , , , , , , ,3,2,1955,2,4,3,4,1,1,1
25004,3288,1,1,3,2,3,2,3,3,3,3,3,3,3,3, , ,1929,1,1,2,2,7,1,1
25001,3288,1,1,3,2,2,3,3,2,3,3,2,3,3,3, , ,1955,2,1,7,4,2,1,1
25002,3288,2,1, , , , , , , , , , , , ,3,1,1946,1,1,7,5,7,1,1
25003,3288,1,1,2,3,2,3,2,3,2,2,2,3,2,3, , ,1988,2,4,2,3,1,1,1
25016,3288,1,1,2,2,3,3,3,1,2,2,2,2,2,3, , ,1973,2,2,2,4,1,1,1
25005,3288,3,1, , , , , , , , , , , , ,3,1,1945,2,2,3,5,7,1,0
25007,3288,3,1, , , , , , , , , , , , ,1,1,1945,1,2,7,2,7,1,0
25008,3288,3,1, , , , , , , , , , , , ,1,1,1971,1,4,3,3,1,1,1
25009,3288,3,1, , , , , , , , , , , , ,2,1,1984,1,4,5,1,6,1,0
25010,3288,3,1, , , , , , , , , , , , ,1,1,1933,2,4,7,5,7,1,1
25011,3288,3,1, , , , , , , , , , , , ,2,2,1948,2,1,2,5,1,1,1
25012,3288,3,1, , , , , , , , , , , , ,3,2,1953,1,4,4,2,1,1,1
25013,3288,3,1, , , , , , , , , , , , ,1,1,1951,1,2,2,2,8,1,1
25014,3288,2,1, , , , , , , , , , , , ,3,1,1933,1,1,2,2,7,1,0
25015,3288,2,1, , , , , , , , , , , , ,3,1,1946,2,2,3,2,7,1,1
25017,3288,3,1, , , , , , , , , , , , ,3,1,1935,2,1,7,3,7,1,0
25018,3288,3,1, , , , , , , , , , , , ,3,1,1957,1,4,3,2,1,1,0
25019,3288,3,1, , , , , , , , , , , , ,1,1,1952,2,4,3,4,1,1,1
25020,3288,3,1, , , , , , , , , , , , ,2,2,1956,2,2,2,2,1,1,0
25021,3288,3,1, , , , , , , , , , , , ,1,2,1972,1,2,2,2,1,1,1
25022,3288,3,1, , , , , , , , , , , , ,3,1,1983,1,2,2,3,1,1,0
25023,3288,2,1, , , , , , , , , , , , ,3,2,1946,2,4,6,4,7,1,1
25024,3288,2,1, , , , , , , , , , , , ,3,2,1946,1,2,3,2,7,1,1
25025,3288,2,1, , , , , , , , , , , , ,2,1,1968,1,2,2,4,1,1,1
25026,3288,2,1, , , , , , , , , , , , ,2,2,1949,2,2,3,2,7,2,1
25027,3288,2,1, , , , , , , , , , , , ,3,1,1980,2,4,6,3,5,2,1
25028,3288,3,1, , , , , , , , , , , , ,2,2,1974,2,2,2,2,6,2,0
25029,3288,3,1, , , , , , , , , , , , ,2,1,1966,2,4,3,2,1,1,0
25030,3288,3,1, , , , , , , , , , , , ,3,2,1973,2,4,5,2,1,1,1
25031,3288,1,1,1,1,3,3,2,2,1,1,1,1,3,3, , ,1981,2,4,5,2,1,2,1
22001,3014,2,1, , , , , , , , , , , , ,3,1,1943,2,4,5,2,7,1,0
22002,3014,3,1, , , , , , , , , , , , ,3,2,1946,1,2,2,3,8,1,1
22003,3014,3,1, , , , , , , , , , , , ,3,1,1950,2,2,6,2,1,1,1
22004,3014,3,1, , , , , , , , , , , , ,2,1,1975,1,2,2,2,1,1,0
22005,3014,2,1, , , , , , , , , , , , ,2,2,1982,1,4,6,2,1,1,1
22006,3014,2,1, , , , , , , , , , , , ,2,1,1942,1,1,7,2,7,1,0
22007,3014,3,1, , , , , , , , , , , , ,3,2,1939,2,1,2,2,7,1,0
22008,3014,3,1, , , , , , , , , , , , ,1,1,1967,1,2,2,2,1,1,1
22009,3014,3,1, , , , , , , , , , , , ,3,2,1975,2,4,3,2,1,1,1
22010,3014,2,1, , , , , , , , , , , , ,2,2,1978,2,2,3,2,11,1,1
22011,3014,2,1, , , , , , , , , , , , ,3,2,1986,2,4,5,2,11,1,1
22012,3014,2,1, , , , , , , , , , , , ,2,1,1939,2,1,7,5,7,1,0
22013,3014,2,1, , , , , , , , , , , , ,3,1,1947,1,1,3,2,7,1,1
22014,3014,2,1, , , , , , , , , , , , ,2,1,1943,1,1,2,2,7,1,0
22015,3014,1,2,3,3,3,3,2,1,2,2,3,3,2,3, , ,1984,1,2,2,3,1,1,0
22016,3014,3,1, , , , , , , , , , , , ,3,1,1944,1,2,3,2,3,1,0
22017,3014,3,1, , , , , , , , , , , , ,3,2,1942,2,4,6,1,7,1,0
22018,3014,3,1, , , , , , , , , , , , ,3,2,1976,1,4,3,2,11,1,0
22019,3014,3,1, , , , , , , , , , , , ,3,2,1967,1,2,2,2,1,1,0
22020,3014,3,1, , , , , , , , , , , , ,3,1,1943,1,1,2,2,7,1,1
22021,3014,1,8,3,2,2,3,1,1,2,3,2,3,2,3, , ,1986,2,4,2,3,11,1,0
22022,3014,3,1, , , , , , , , , , , , ,3,1,1971,2,2,3,2,1,1,0
22023,3014,3,1, , , , , , , , , , , , ,1,2,1965,1,2,2,2,1,1,1
22024,3014,2,1, , , , , , , , , , , , ,3,2,1946,2,1,3,4,7,1,0
22025,3014,1,1,3,3,3,1,3,3,3,3,3,3,3,3, , ,1971,1,4,6,2,1,1,0
22026,3014,2,1, , , , , , , , , , , , ,3,1,1941,1,1,7,2,7,1,0
22027,3014,2,1, , , , , , , , , , , , ,3,1,1939,2,2,7,2,7,1,1
22028,3014,2,1, , , , , , , , , , , , ,2,1,1956,1,2,2,2,1,1,1
22029,3014,3,1, , , , , , , , , , , , ,2,1,1972,2,4,6,2,2,2,1
22030,3014,2,1, , , , , , , , , , , , ,2,1,1982,2,4,5,1,6,1,1
22031,3014,2,1, , , , , , , , , , , , ,2,2,1973,2,4,3,2,1,1,0
22032,3014,3,1, , , , , , , , , , , , ,3,1,1988,1,2,3,3,1,1,1
22033,3014,1,1,2,2,3,3,1,3,3,3,3,3,3,3, , ,1978,2,2,3,2,1,1,1
22034,3014,2,1, , , , , , , , , , , , ,3,2,1949,1,2,2,2,5,2,1
22035,3014,3,1, , , , , , , , , , , , ,2,1,1969,1,2,3,2,1,1,0
22036,3014,3,1, , , , , , , , , , , , ,2,1,1949,1,2,3,2,7,1,0
22037,3014,3,1, , , , , , , , , , , , ,3,1,1964,1,2,2,2,1,1,0
22038,3014,2,2, , , , , , , , , , , , ,3,2,1946,2,4,2,4,7,1,0
22039,3014,2,1, , , , , , , , , , , , ,2,2,1950,2,2,3,5,5,2,1
22040,3014,3,2, , , , , , , , , , , , ,3,1,1972,2,2,2,3,2,2,0
197001,5460,1,1,3,3,3,1,3,3,3,3,3,3,3,3, , ,1974,2,4,3,2,2,1,1
197002,5460,2,1, , , , , , , , , , , , ,3,1,1979,2,4,6,1,5,2,0
197003,5460,3,1, , , , , , , , , , , , ,3,2,1961,2,2,3,2,1,2,1
197004,5460,2,1, , , , , , , , , , , , ,3,1,1945,2,2,2,2,7,1,1
197005,5460,2,1, , , , , , , , , , , , ,3,1,1933,1,1,3,2,7,1,0
197006,5460,6,2, , , , , , , , , , , , , , ,1943,1,2,3,2,7,1,0
197007,5460,3,1, , , , , , , , , , , , ,3,2,1957,1,2,3,4,1,1,0
197008,5460,2,1, , , , , , , , , , , , ,1,1,1985,2,4,3,2,1,1,0
197009,5460,2,1, , , , , , , , , , , , ,3,1,1955,2,2,6,2,1,1,0
197010,5460,2,1, , , , , , , , , , , , ,3,1,1955,2,2,3,4,5,2,0
25033,3288,3,1, , , , , , , , , , , , ,3,1,1962,1,2,2,2,1,1,0
25032,3288,2,1, , , , , , , , , , , , ,3,1,1961,1,4,3,2,1,1,0
25034,3288,3,1, , , , , , , , , , , , ,3,2,1983,1,2,5,3,1,1,1
25035,3288,3,1, , , , , , , , , , , , ,2,2,1973,2,4,5,2,1,1,1
25036,3288,1,3,3,3,1,3,3,3,3,2,3,3,3,3, , ,1992,1,2,1,1,6,1,1
25037,3288,3,2, , , , , , , , , , , , ,4,2,1985,1,4,2,1,1,1,0
25038,3288,2,1, , , , , , , , , , , , ,3,1,1951,2,2,3,2,3,1,1
25039,3288,1,3,3,3,3,3,3,2,2,2,2,2,2,2, , ,1992,1,3,7,1,6,1,0
25040,3288,1,1,3,2,3,3,1,1,1,1,1,2,2,3, , ,1985,1,2,4,3,3,1,0
25041,3288,3,1, , , , , , , , , , , , ,2,2,1961,2,4,3,3,1,1,0
197011,5460,3,1, , , , , , , , , , , , ,3,1,1956,1,2,2,3,1,1,1
197012,5460,1,2,3,3,3,1,3,3,2,3,1,3,3,2, , ,1954,2,1,2,1,8,1,1
197013,5460,2,1, , , , , , , , , , , , ,4,1,1982,2,2,2,1,2,1,1
197016,5460,2,1, , , , , , , , , , , , ,3,1,1935,1,1,3,2,7,1,1
197017,5460,3,1, , , , , , , , , , , , ,3,1,1947,2,1,7,4,7,1,0
197018,5460,1,2,2,2,3,3,3,3,1,2,1,1,1,2, , ,1965,1,2,2,2,1,1,0
197020,5460,1,2,3,3,3,3,3,2,2,3,2,2,1,2, , ,1966,1,1,7,1,1,1,1
22041,3014,2,1, , , , , , , , , , , , ,2,1,1941,1,1,2,2,7,1,1
22042,3014,2,1, , , , , , , , , , , , ,3,1,1941,1,2,5,2,7,1,0
22043,3014,2,2, , , , , , , , , , , , ,2,2,1973,2,2,2,1,5,2,1
22044,3014,3,1, , , , , , , , , , , , ,2,1,1971,1,2,3,2,1,1,0
22045,3014,3,3, , , , , , , , , , , , ,3,1,1991,2,2,2,1,6,1,0
22046,3014,2,1, , , , , , , , , , , , ,3,1,1945,2,4,3,2,7,1,1
22047,3014,3,1, , , , , , , , , , , , ,1,1,1963,2,2,2,4,2,1,0
22048,3014,2,3, , , , , , , , , , , , ,2,1,1989,1,2,1,3,6,1,1
22049,3014,3,1, , , , , , , , , , , , ,3,2,1944,1,4,6,2,7,1,0
22050,3014,2,1, , , , , , , , , , , , ,3,1,1941,2,1,3,5,7,1,0
520004,5783,2,1, , , , , , , , , , , , ,3,2,1950,2,2,3,4,7,1,1
520007,5783,2,1, , , , , , , , , , , , ,3,1,1949,2,4,6,2,1,1,0
520006,5783,2,1, , , , , , , , , , , , ,3,2,1961,1,2,2,2,1,1,1
520005,5783,2,1, , , , , , , , , , , , ,3,1,1947,1,2,2,2,8,1,0
28004,3364,2,1, , , , , , , , , , , , ,2,1,1973,1,2,2,1,8,1,1
28003,3364,3,3, , , , , , , , , , , , ,3,2,1990,1,2,1,1,6,2,1
28001,3364,3,1, , , , , , , , , , , , ,1,2,1958,2,4,5,2,1,1,1
28002,3364,1,1,1,1,3,3,3,1,1,1,1,1,1,3, , ,1953,2,2,2,2,1,1,0
28008,3364,2,1, , , , , , , , , , , , ,2,2,1986,2,4,4,3,6,2,1
28010,3364,3,1, , , , , , , , , , , , ,2,1,1949,2,4,5,2,2,1,0
 , , , , , , , , , , , , , , , , , , , , , , , , ,1
28006,3364,3,1, , , , , , , , , , , , ,3,1,1936,1,2,7,2,7,1,0
28009,3364,2,1, , , , , , , , , , , , ,3,1,1949,1,2,3,2,8,1,1
28013,3364,3,1, , , , , , , , , , , , ,2,2,1946,1,1,2,3,7,1,1
28015,3364,3,2, , , , , , , , , , , , ,3,1,1989,1,2,2,1,1,1,0
28024,3364,3,1, , , , , , , , , , , , ,2,1,1989,1,4,4,1,6,2,1
28014,3364,2,1, , , , , , , , , , , , ,3,2,1972,2,2,3,2,11,1,1
28021,3364,3,1, , , , , , , , , , , , ,3,1,1968,1,2,3,2,1,1,1
28020,3364,3,1, , , , , , , , , , , , ,2,1,1970,1,2,2,2,1,1,1
28019,3364,1,1,3,3,2,3,3,3,3,3,3,3,3,3, , ,1964,1,2,3,2,1,1,0
28017,3364,2,1, , , , , , , , , , , , ,3,1,1935,2,2,2,5,7,1,0
28011,3364,2,1, , , , , , , , , , , , ,1,2,1945,1,2,2,4,8,1,1
478002,5741,1,1,3,3,1,3,3,3,3,2,3,3,3,3, , ,1966,1,2,5,3,5,2,1
478003,5741,2,1, , , , , , , , , , , , ,3,2,1924,1,2,7,2,7,1,1
478007,5741,3,1, , , , , , , , , , , , ,1,2,1974,2,4,6,3,1,1,1
478009,5741,6,2, , , , , , , , , , , , , , ,1986,2,2,7,3,9,1,0
478010,5741,2,1, , , , , , , , , , , , ,3,1,1940,1,1,3,2,7,1,1
478004,5741,2,1, , , , , , , , , , , , ,3,2,1935,1,2,5,2,7,1,0
478001,5741,2,1, , , , , , , , , , , , ,1,2,1941,2,4,6,2,7,1,1
476001,5739,3,1, , , , , , , , , , , , ,2,1,1987,1,2,1,1,6,1,0
476002,5739,3,1, , , , , , , , , , , , ,3,1,1946,1,4,6,2,2,1,1
476003,5739,3,1, , , , , , , , , , , , ,2,1,1950,1,4,7,2,3,1,1
476004,5739,3,1, , , , , , , , , , , , ,3,2,1970,1,4,5,2,1,1,1
476005,5739,3,1, , , , , , , , , , , , ,3,2,1948,2,4,3,4,1,1,1
33010,3485,3,1, , , , , , , , , , , , ,3,2,1978,1,4,6,2,1,1,1
33009,3485,3,1, , , , , , , , , , , , ,2,1,1946,1,4,4,2,7,1,1
33007,3485,3,1, , , , , , , , , , , , ,3,1,1955,1,2,2,4,5,2,1
33006,3485,3,1, , , , , , , , , , , , ,1,1,1952,2,4,5,2,5,1,0
33008,3485,2,2, , , , , , , , , , , , ,3,1,1982,2,4,5,2,1,1,0
33004,3485,3,1, , , , , , , , , , , , ,2,2,1943,2,2,2,2,7,1,1
33003,3485,3,1, , , , , , , , , , , , ,2,2,1948,1,2,2,1,7,1,0
33002,3485,2,1, , , , , , , , , , , , ,4,2,1936,2,2,2,2,7,1,1
33001,3485,2,1, , , , , , , , , , , , ,2,2,1937,2,4,4,5,7,1,0
217001,5480,2,2, , , , , , , , , , , , ,3,1,1950,1,2,2,3,5,2,0
217002,5480,1,2,3,3,3,3,3,1,1,3,1,1,1,1, , ,1944,1,1,2,4,7,1,1
217003,5480,3,1, , , , , , , , , , , , ,1,2,1972,2,2,5,3,1,1,0
217004,5480,3,1, , , , , , , , , , , , ,2,1,1978,2,4,5,2,2,1,1
217005,5480,3,1, , , , , , , , , , , , ,1,2,1964,2,4,5,2,5,2,1
217006,5480,2,1, , , , , , , , , , , , ,3,1,1963,1,2,2,2,1,1,0
217007,5480,3,1, , , , , , , , , , , , ,3,1,1948,1,2,2,4,1,1,1
217008,5480,3,1, , , , , , , , , , , , ,2,1,1967,2,4,5,2,1,1,1
217009,5480,2,1, , , , , , , , , , , , ,2,1,1944,2,4,3,1,7,1,1
217010,5480,2,1, , , , , , , , , , , , ,3,1,1939,1,2,3,2,7,1,1
217011,5480,3,2, , , , , , , , , , , , ,2,1,1948,1,2,3,1,7,1,1
217012,5480,2,2, , , , , , , , , , , , ,2,2,1987,1,4,5,1,6,1,1
217013,5480,1,1,3,4,1,3,3,1,3,3,3,3,3,3, , ,1959,2,2,2,2,5,2,0
217014,5480,2,1, , , , , , , , , , , , ,2,1,1937,1,2,2,2,7,1,1
217015,5480,1,2,1,1,3,3,3,3,2,3,2,2,3,3, , ,1965,2,4,5,4,1,1,1
217016,5480,3,1, , , , , , , , , , , , ,3,1,1977,2,4,6,2,1,1,1
217017,5480,2,1, , , , , , , , , , , , ,3,1,1937,1,4,5,2,7,1,0
217018,5480,3,1, , , , , , , , , , , , ,3,2,1983,1,3,4,1,6,1,1
217019,5480,3,1, , , , , , , , , , , , ,2,1,1988,2,4,5,1,6,1,1
217020,5480,3,3, , , , , , , , , , , , ,2,2,1991,2,4,4,1,6,1,1
526021,5789,3,1, , , , , , , , , , , , ,3,2,1955,2,2,7,4,1,1,1
526020,5789,3,1, , , , , , , , , , , , ,3,2,1950,1,4,6,4,5,2,0
526019,5789,3,1, , , , , , , , , , , , ,3,1,1974,2,4,6,2,1,1,1
526018,5789,2,1, , , , , , , , , , , , ,3,1,1946,2,4,6,4,7,1,0
526017,5789,3,1, , , , , , , , , , , , ,1,1,1946,2,4,6,4,2,1,1
526016,5789,3,1, , , , , , , , , , , , ,3,1,1948,1,2,3,4,5,2,1
526015,5789,2,1, , , , , , , , , , , , ,1,1,1967,1,2,2,4,5,2,0
