a1,a2,q21,q23,k16_1,k16_2,k16_3,k16_4,k16_5,k16_6,k16_7,k16_8,k16_9,k16_10,k16_11,k16_12,k22,k23,d1,d2,d3_1,d3_2,d4,d10,d32,filter_$
42015,3745,1,1,1,3,3,3,3,3,2,3,2,2,2,3, , ,1971,2,2,2,2,2,1,1
42017,3745,3,1, , , , , , , , , , , , ,3,2,1925,1,1,3,2,7,1,1
42018,3745,1,1,1,1,3,3,3,2,2,2,2,2,2,3, , ,1958,2,1,2,4,1,1,1
42021,3745,3,1, , , , , , , , , , , , ,2,1,1986,2,4,3,1,1,1,1
42022,3745,2,1, , , , , , , , , , , , ,3,2,1934,2,2,3,5,7,1,1
42030,3745,1,3,3,3,3,3,3,2,1,2,2,3,1,3, , ,1990,2,4,4,1,6,1,1
42035,3745,1,2,2,2,3,3,3,1,1,1,2,3,1,3, , ,1977,2,2,3,2,2,2,1
42054,3745,1,2,4,2,3,3,3,2,2,2,2,4,4,2, , ,1976,1,2,4,2,1,1,1
62001,4097,1,2,3,3,3,3,3,1,2,3,2,3,1,3, , ,1955,1,2,2,1,1,1,1
62002,4097,2,1, , , , , , , , , , , , ,2,2,1946,2,4,6,1,7,1,0
62004,4097,2,1, , , , , , , , , , , , ,3,1,1950,2,4,6,4,3,1,1
65003,4139,1,3,3,2,3,3,3,2,2,2,1,3,1,3, , ,1992,2,3,7,1,6,1,1
65005,4139,2,1, , , , , , , , , , , , ,3,1,1938,1,1,7,2,7,1,0
65006,4139,1,2,3,3,3,3,3,2,1,1,1,3,1,2, , ,1986,1,2,2,1,1,1,1
65007,4139,1,2,2,2,3,3,3,2,2,2,3,3,2,3, , ,1970,2,2,2,3,8,1,1
65010,4139,1,2,3,3,3,2,3,2,2,2,3,3,2,3, , ,1944,2,2,7,5,8,1,1
88001,5351,3,1, , , , , , , , , , , , ,3,1,1931,1,1,7,2,7,1,1
88002,5351,2,1, , , , , , , , , , , , ,3,1,1952,1,4,3,4,8,1,1
114006,5377,2,3, , , , , , , , , , , , ,3,1,1989,1,2,2,2,1,1,0
114014,5377,3,1, , , , , , , , , , , , ,2,2,1950,2,2,2,2,8,1,1
189098,3923,2,1, , , , , , , , , , , , ,2,2,1986,1,4,5,1,3,1,1
189099,3923,3,1, , , , , , , , , , , , ,3,1,1973,2,4,6,2,1,1,0
197014,5460,3,1, , , , , , , , , , , , ,3,2,1945,2,1,2,5,7,1,0
197015,5460,3,1, , , , , , , , , , , , ,3,1,1976,1,4,6,3,1,1,1
197019,5460,3,1, , , , , , , , , , , , ,3,1,1960,1,2,3,2,1,1,0
214001,5477,2,1, , , , , , , , , , , , ,4,3,1984,2,4,5,2,9,2,0
214002,5477,3,3, , , , , , , , , , , , ,3,1,1989,1,4,7,1,6,1,1
214003,5477,1,1,1,1,3,3,3,3,2,2,3,3,3,3, , ,1986,1,4,6,1,6,1,1
214007,5477,2,1, , , , , , , , , , , , ,3,1,1961,1,4,6,2,1,1,0
214008,5477,3,1, , , , , , , , , , , , ,3,2,1936,2,1,7,5,7,1,1
214011,5477,2,8, , , , , , , , , , , , ,3,1,1967,2,4,6,1,5,2,0
214016,5477,2,1, , , , , , , , , , , , ,3,1,1949,2,4,7,2,1,1,1
214017,5477,3,1, , , , , , , , , , , , ,3,2,1958,1,4,2,1,5,2,0
214018,5477,3,1, , , , , , , , , , , , ,3,1,1929,1,1,7,2,7,1,0
214022,5477,2,1, , , , , , , , , , , , ,2,1,1987,1,4,4,1,6,1,0
214023,5477,3,1, , , , , , , , , , , , ,3,1,1968,1,4,6,2,1,1,1
302006,5565,1,2,3,3,3,3,1,1,2,2,2,2,2,3, , ,1984,1,1,2,3,1,1,1
302007,5565,3,2, , , , , , , , , , , , ,1,2,1987,2,2,2,1,1,2,1
302010,5565,2,1, , , , , , , , , , , , ,3,2,1956,1,2,3,4,1,1,1
365016,5628,2,1, , , , , , , , , , , , ,2,2,1963,1,2,2,2,5,2,0
412005,5675,2,1, , , , , , , , , , , , ,1,1,1949,1,1,7,3,8,2,0
419003,5762,2,1, , , , , , , , , , , , ,2,1,1937,1,4,6,1,7,1,0
438017,5701,2,1, , , , , , , , , , , , ,3,2,1943,2,2,2,3,7,1,1
438018,5701,2,1, , , , , , , , , , , , ,2,1,1959,1,2,7,1,8,1,1
454004,5717,2,1, , , , , , , , , , , , ,2,1,1942,1,4,6,2,7,1,0
454007,5717,2,2, , , , , , , , , , , , ,3,2,1956,1,1,2,1,1,2,1
454008,5717,2,1, , , , , , , , , , , , ,3,2,1945,2,2,2,2,7,1,1
473003,228,3,3, , , , , , , , , , , , ,2,2,1989,1,2,2,1,6,1,1
473016,228,3,1, , , , , , , , , , , , ,3,2,1947,2,2,2,4,7,2,1
478005,5741,3,1, , , , , , , , , , , , ,1,2,1982,1,4,4,1,1,1,1
478006,5741,3,1, , , , , , , , , , , , ,3,2,1937,2,1,7,2,7,1,1
478008,5741,3,8, , , , , , , , , , , , ,3,1,1965,2,4,3,2,1,1,1
480016,2209,2,1, , , , , , , , , , , , ,3,2,1985,2,4,6,1,6,2,0
480019,2209,3,1, , , , , , , , , , , , ,3,2,1988,2,4,1,3,6,1,1
480024,2209,2,1, , , , , , , , , , , , ,3,1,1943,2,2,2,4,7,1,1
480035,2209,3,1, , , , , , , , , , , , ,3,1,1960,2,4,3,4,1,1,1
480037,2209,3,3, , , , , , , , , , , , ,4,2,1993,2,3,7,1,6,1,1
482001,228,3,3, , , , , , , , , , , , ,3,1,1990,1,4,7,1,1,2,1
482013,228,2,1, , , , , , , , , , , , ,1,1,1948,2,4,6,2,7,1,1
482014,228,2,1, , , , , , , , , , , , ,4,1,1962,2,4,6,3,1,1,1
482022,228,2,1, , , , , , , , , , , , ,3,1,1939,2,2,3,4,7,1,1
482031,228,3,1, , , , , , , , , , , , ,3,1,1944,1,2,4,1,7,1,1
482034,228,1,2,3,1,3,3,3,3,3,3,2,3,3,3, , ,1968,1,2,7,1,8,1,1
488001,5751,3,1, , , , , , , , , , , , ,4,1,1927,1,1,7,1,8,1,1
498006,5761,1,2,3,3,1,3,4,3,3,3,3,3,3,3, , ,1944,2,1,2,1,9,1,0
498012,5761,2,1, , , , , , , , , , , , ,2,1,1979,1,2,2,1,5,2,1
520001,5783,3,1, , , , , , , , , , , , ,1,1,1974,1,4,3,2,1,1,1
520002,5783,3,1, , , , , , , , , , , , ,3,2,1939,2,4,3,4,7,1,0
520003,5783,3,1, , , , , , , , , , , , ,3,1,1920,2,2,7,5,7,1,0
521003,5784,3,2, , , , , , , , , , , , ,3,1,1934,1,2,4,5,7,1,1
521009,5784,3,1, , , , , , , , , , , , ,3,1,1941,1,1,7,1,7,1,1
521011,5784,3,1, , , , , , , , , , , , ,3,1,1955,1,4,5,2,1,1,1
521012,5784,3,1, , , , , , , , , , , , ,2,3,1956,1,4,5,2,1,1,1
524002,5787,2,1, , , , , , , , , , , , ,2,1,1953,1,2,2,2,1,1,0
524005,5787,3,2, , , , , , , , , , , , ,3,1,1969,1,2,2,2,2,1,1
524007,5787,3,1, , , , , , , , , , , , ,3,2,1988,2,2,2,2,11,1,0
524009,5787,3,1, , , , , , , , , , , , ,3,1,1986,1,2,2,2,1,1,0
525002,5788,1,2,3,3,3,3,3,3,1,3,2,3,2,3, , ,1943,2,1,7,5,7,1,1
525004,5788,1,2,3,3,3,3,3,3,2,3,3,3,1,3, , ,1971,2,2,7,4,5,2,1
525006,5788,2,1, , , , , , , , , , , , ,3,2,1928,2,2,4,5,7,1,0
525007,5788,1,1,3,1,3,3,3,3,3,3,3,3,3,3, , ,1928,1,2,6,5,7,1,1
526009,5789,3,1, , , , , , , , , , , , ,3,2,1932,2,2,7,5,7,1,0
526012,5789,1,1,3,3,1,3,3,3,3,3,3,3,3,3, , ,1938,2,2,2,2,1,1,0
526022,5789,2,1, , , , , , , , , , , , ,3,2,1941,2,1,2,5,7,1,1
62003,4097,3,1, , , , , , , , , , , , ,3,1,1965,1,4,6,2,1,1,1
62006,4097,3,1, , , , , , , , , , , , ,3,1,1947,1,4,3,4,1,1,0
102011,5365,2,1, , , , , , , , , , , , ,3,1,1928,1,1,7,5,7,1,0
102016,5365,3,1, , , , , , , , , , , , ,3,1,1948,2,2,2,4,7,1,1
14007,2736,2,2, , , , , , , , , , , , ,2,1,1945,2,4,6,1,7,1,1
14009,2736,3,1, , , , , , , , , , , , ,2,1,1980,2,2,5,1,1,1,0
189001,5452,1,1,3,3,3,3,3,3,3,3,3,3,3,3, , ,1921,2,1,5,5,7,1,1
189002,5452,2,1, , , , , , , , , , , , ,3,1,1988,2,2,1,1,6,1,1
189007,5452,2,1, , , , , , , , , , , , ,3,2,1919,1,1,7,2,7,1,0
189009,5452,2,1, , , , , , , , , , , , ,3,1,1922,2,2,2,5,7,1,1
189015,5452,2,1, , , , , , , , , , , , ,4,2,1967,1,1,2,1,1,1,0
189017,5452,3,1, , , , , , , , , , , , ,3,2,1937,2,2,3,1,7,1,1
189018,5452,1,3,2,2,1,3,3,2,4,2,2,3,2,2, , ,1991,1,2,2,1,1,2,0
189019,5452,2,1, , , , , , , , , , , , ,3,2,1982,2,4,4,3,6,2,1
189027,5452,2,1, , , , , , , , , , , , ,3,2,1930,1,4,6,2,7,1,1
197011,5460,3,3, , , , , , , , , , , , ,3,2,1988,1,1,2,1,1,1,0
197017,5460,2,1, , , , , , , , , , , , ,3,2,1933,2,1,7,2,7,1,0
197019,5460,2,1, , , , , , , , , , , , ,3,2,1938,2,1,7,3,7,1,0
197025,5460,1,3,3,3,3,3,2,1,1,1,1,3,3,3, , ,1990,2,2,3,3,7,1,1
197027,5460,3,1, , , , , , , , , , , , ,3,2,1939,2,1,7,5,7,1,1
197033,5460,6,3, , , , , , , , , , , , , , ,1990,1,2,3,1,1,2,0
197039,5460,2,1, , , , , , , , , , , , ,3,1,1935,1,1,3,2,7,1,0
480001,2209,2,2, , , , , , , , , , , , ,3,1,1934,2,1,1,1,7,1,1
480002,2209,2,1, , , , , , , , , , , , ,2,3,1971,1,4,4,1,6,1,1
480004,2209,1,2,3,3,3,3,3,1,1,1,1,1,3,1, , ,1954,1,1,2,4,1,1,0
480005,2209,2,1, , , , , , , , , , , , ,1,1,1954,1,4,6,4,1,1,0
480013,2209,3,1, , , , , , , , , , , , ,4,1,1966,1,2,2,2,1,1,1
480012,2209,2,1, , , , , , , , , , , , ,1,2,1982,1,4,5,1,1,1,1
480011,2209,3,1, , , , , , , , , , , , ,2,1,1982,2,4,6,1,6,1,1
480010,2209,2,1, , , , , , , , , , , , ,2,1,1952,2,4,5,4,1,1,1
5079,2209,2,1, , , , , , , , , , , , ,3,2,1948,2,2,2,2,8,1,0
480009,2209,2,1, , , , , , , , , , , , ,2,2,1925,1,1,2,2,1,1,1
5046,2209,2,1, , , , , , , , , , , , ,3,1,1941,1,4,6,2,3,1,1
5045,2209,2,1, , , , , , , , , , , , ,3,1,1951,1,4,6,1,1,1,1
5044,2209,2,1, , , , , , , , , , , , ,3,2,1979,2,4,6,3,1,1,1
5043,2209,3,1, , , , , , , , , , , , ,3,1,1976,1,2,3,1,1,2,1
5036,2209,2,1, , , , , , , , , , , , ,2,1,1986,2,3,5,3,6,1,0
5042,2209,3,1, , , , , , , , , , , , ,2,2,1964,2,2,5,4,2,1,1
5039,2209,2,1, , , , , , , , , , , , ,3,1,1946,1,4,6,1,7,1,1
5040,2209,2,1, , , , , , , , , , , , ,3,2,1945,2,4,6,2,7,1,0
5031,2209,3,2, , , , , , , , , , , , ,3,2,1990,2,2,7,1,6,2,0
5041,2209,2,1, , , , , , , , , , , , ,2,2,1976,2,4,5,2,3,1,1
5037,2209,1,1,2,2,2,3,3,3,3,2,2,3,3,3, , ,1980,2,4,2,1,5,1,0
5033,2209,3,2, , , , , , , , , , , , ,2,1,1980,2,4,5,1,6,1,1
5032,2209,2,1, , , , , , , , , , , , ,3,1,1973,2,2,3,3,1,1,1
5030,2209,2,1, , , , , , , , , , , , ,2,2,1979,1,2,2,3,1,1,1
5029,2209,3,2, , , , , , , , , , , , ,2,1,1989,2,4,7,1,6,1,1
5027,2209,3,1, , , , , , , , , , , , ,2,2,1988,1,4,7,1,6,1,1
5028,2209,3,2, , , , , , , , , , , , ,1,2,1956,2,4,6,1,1,1,0
5026,2209,2,2, , , , , , , , , , , , ,2,2,1990,2,4,1,1,6,2,1
189029,5452,3,1, , , , , , , , , , , , ,3,1,1951,1,4,5,2,4,2,1
5024,2209,2,1, , , , , , , , , , , , ,2,1,1943,2,4,3,2,7,1,1
5023,2209,2,1, , , , , , , , , , , , ,3,2,1933,2,4,6,5,7,1,0
5022,2209,2,2, , , , , , , , , , , , ,2,1,1992,1,4,7,1,3,1,1
5021,2209,3,1, , , , , , , , , , , , ,2,2,1944,1,4,6,5,7,1,0
5019,2209,2,1, , , , , , , , , , , , ,3,1,1978,1,4,4,1,1,1,0
5018,2209,3,1, , , , , , , , , , , , ,4,2,1945,2,4,6,4,7,1,0
5017,2209,3,2, , , , , , , , , , , , ,3,1,1960,2,4,6,4,1,1,0
5014,2209,3,1, , , , , , , , , , , , ,3,1,1971,1,2,3,2,1,1,0
5012,2209,3,1, , , , , , , , , , , , ,3,2,1948,1,4,3,4,1,1,0
5013,2209,2,1, , , , , , , , , , , , ,3,1,1986,1,2,7,1,1,1,0
5011,2209,3,1, , , , , , , , , , , , ,3,1,1944,2,4,3,4,7,1,0
5010,2209,2,1, , , , , , , , , , , , ,2,2,1947,2,4,6,4,1,1,0
5009,2209,2,1, , , , , , , , , , , , ,3,1,1940,1,4,6,2,7,1,1
5008,2209,3,1, , , , , , , , , , , , ,2,2,1947,2,4,3,2,1,1,0
5007,2209,3,1, , , , , , , , , , , , ,2,1,1956,2,4,6,1,1,1,1
5006,2209,3,1, , , , , , , , , , , , ,2,1,1973,1,4,7,1,1,1,0
5005,2209,3,1, , , , , , , , , , , , ,3,1,1960,2,4,3,1,1,1,0
5003,2209,2,1, , , , , , , , , , , , ,1,1,1931,1,4,6,3,7,1,0
5004,2209,2,1, , , , , , , , , , , , ,1,1,1961,2,4,6,2,1,1,1
5002,2209,3,2, , , , , , , , , , , , ,3,2,1967,1,4,6,2,1,2,1
5001,2209,2,1, , , , , , , , , , , , ,3,1,1986,1,4,6,1,6,1,0
5068,2209,1,2,1,1,1,3,3,2,2,4,2,3,2,3, , ,1981,2,4,6,1,1,1,1
5063,2209,3,1, , , , , , , , , , , , ,2,1,1971,2,4,5,3,1,1,0
5067,2209,2,1, , , , , , , , , , , , ,3,1,1961,1,4,6,2,1,1,1
5064,2209,1,2,3,3,1,3,3,3,3,3,3,3,3,3, , ,1976,1,2,2,4,1,1,1
5062,2209,3,1, , , , , , , , , , , , ,3,1,1950,1,4,6,2,1,1,0
5060,2209,2,1, , , , , , , , , , , , ,3,1,1982,1,4,6,1,1,1,0
5059,2209,3,1, , , , , , , , , , , , ,2,1,1966,1,4,6,1,3,2,1
5058,2209,2,1, , , , , , , , , , , , ,3,1,1962,2,4,6,1,5,2,0
5057,2209,2,1, , , , , , , , , , , , ,3,1,1968,1,4,5,4,6,1,1
5056,2209,2,1, , , , , , , , , , , , ,3,1,1935,1,2,3,2,7,1,0
5055,2209,3,1, , , , , , , , , , , , ,2,2,1967,1,4,6,3,1,1,1
